地级市,年份,累计日照时数(小时)
东营市,1960,291.58
东营市,1961,350.45
东营市,1962,296.74
东营市,1963,359.15
东营市,1964,324.99
东营市,1965,348.45
东营市,1966,375.01
东营市,1967,334.61
东营市,1968,412.74
东营市,1969,351.58
东营市,1970,311.34
东营市,1971,318.05
东营市,1972,359.2
东营市,1973,357.82
东营市,1974,294.4
东营市,1975,344.23
东营市,1976,262.45
东营市,1977,366.35
东营市,1978,377.5
东营市,1979,392.17
东营市,1980,408.47
东营市,1981,384.64
东营市,1982,376.07
东营市,1983,404.46
东营市,1984,392.63
东营市,1985,381.02
东营市,1986,371.54
东营市,1987,393.72
东营市,1988,329.61
东营市,1989,374.61
东营市,1990,339.42
东营市,1991,360.37
东营市,1992,320.1
东营市,1993,322.67
东营市,1994,361.99
东营市,1995,284.24
东营市,1996,288.43
东营市,1997,390.77
东营市,1998,300.04
东营市,1999,337.68
东营市,2000,377.54
东营市,2001,322.0
东营市,2002,384.02
东营市,2003,277.59
东营市,2004,283.75
东营市,2005,292.67
东营市,2006,307.6
东营市,2007,267.41
东营市,2008,263.86
东营市,2009,294.49
东营市,2010,275.7
东营市,2011,228.43
东营市,2012,278.23
东营市,2013,293.43
东营市,2014,326.54
东营市,2015,270.93
东营市,2016,273.42
东营市,2017,277.67
东营市,2018,311.09
东营市,2019,253.22
东营市,2020,394.06
临沂市,1960,320.75
临沂市,1961,324.69
临沂市,1962,309.31
临沂市,1963,247.6
临沂市,1964,382.23
临沂市,1965,285.92
临沂市,1966,405.37
临沂市,1967,366.47
临沂市,1968,381.74
临沂市,1969,358.32
临沂市,1970,322.06
临沂市,1971,374.21
临沂市,1972,342.26
临沂市,1973,364.45
临沂市,1974,258.83
临沂市,1975,272.65
临沂市,1976,329.87
临沂市,1977,289.09
临沂市,1978,339.06
临沂市,1979,361.22
临沂市,1980,337.7
临沂市,1981,337.8
临沂市,1982,255.74
临沂市,1983,341.48
临沂市,1984,285.89
临沂市,1985,328.72
临沂市,1986,329.72
临沂市,1987,288.98
临沂市,1988,328.76
临沂市,1989,269.7
临沂市,1990,267.77
临沂市,1991,325.36
临沂市,1992,312.69
临沂市,1993,224.02
临沂市,1994,346.17
临沂市,1995,278.34
临沂市,1996,274.78
临沂市,1997,333.52
临沂市,1998,242.56
临沂市,1999,291.81
临沂市,2000,306.72
临沂市,2001,265.46
临沂市,2002,349.33
临沂市,2003,193.08
临沂市,2004,233.38
临沂市,2005,233.94
临沂市,2006,242.04
临沂市,2007,210.3
临沂市,2008,200.97
临沂市,2009,238.93
临沂市,2010,286.05
临沂市,2011,191.95
临沂市,2012,283.01
临沂市,2013,308.61
临沂市,2014,302.54
临沂市,2015,264.26
临沂市,2016,271.52
临沂市,2017,284.57
临沂市,2018,339.08
临沂市,2019,231.95
临沂市,2020,228.91
威海市,1960,242.18
威海市,1961,320.95
威海市,1962,255.13
威海市,1963,298.43
威海市,1964,334.73
威海市,1965,275.67
威海市,1966,335.62
威海市,1967,311.38
威海市,1968,398.53
威海市,1969,264.53
威海市,1970,259.28
威海市,1971,294.17
威海市,1972,336.77
威海市,1973,370.31
威海市,1974,246.68
威海市,1975,271.68
威海市,1976,239.6
威海市,1977,343.45
威海市,1978,314.3
威海市,1979,346.88
威海市,1980,353.69
威海市,1981,397.08
威海市,1982,371.48
威海市,1983,377.51
威海市,1984,279.04
威海市,1985,284.54
威海市,1986,329.31
威海市,1987,311.95
威海市,1988,312.09
威海市,1989,337.45
威海市,1990,328.62
威海市,1991,363.13
威海市,1992,378.54
威海市,1993,295.39
威海市,1994,367.26
威海市,1995,270.53
威海市,1996,300.81
威海市,1997,406.15
威海市,1998,253.46
威海市,1999,363.54
威海市,2000,370.52
威海市,2001,318.24
威海市,2002,304.31
威海市,2003,280.44
威海市,2004,235.91
威海市,2005,304.83
威海市,2006,278.31
威海市,2007,255.78
威海市,2008,246.93
威海市,2009,340.11
威海市,2010,281.07
威海市,2011,197.44
威海市,2012,285.74
威海市,2013,258.26
威海市,2014,319.06
威海市,2015,288.85
威海市,2016,316.73
威海市,2017,256.62
威海市,2018,309.02
威海市,2019,282.76
威海市,2020,299.24
德州市,1960,287.64
德州市,1961,360.68
德州市,1962,292.76
德州市,1963,350.65
德州市,1964,318.98
德州市,1965,393.5
德州市,1966,379.22
德州市,1967,344.94
德州市,1968,430.74
德州市,1969,376.42
德州市,1970,348.3
德州市,1971,345.04
德州市,1972,377.64
德州市,1973,354.53
德州市,1974,321.47
德州市,1975,365.41
德州市,1976,275.64
德州市,1977,336.45
德州市,1978,354.82
德州市,1979,360.26
德州市,1980,394.21
德州市,1981,348.23
德州市,1982,341.97
德州市,1983,371.03
德州市,1984,343.97
德州市,1985,360.35
德州市,1986,362.09
德州市,1987,384.18
德州市,1988,280.1
德州市,1989,346.71
德州市,1990,306.37
德州市,1991,324.19
德州市,1992,339.86
德州市,1993,271.37
德州市,1994,359.37
德州市,1995,268.99
德州市,1996,245.53
德州市,1997,410.09
德州市,1998,291.61
德州市,1999,321.11
德州市,2000,336.23
德州市,2001,345.9
德州市,2002,399.48
德州市,2003,279.13
德州市,2004,260.95
德州市,2005,269.94
德州市,2006,242.63
德州市,2007,265.06
德州市,2008,259.82
德州市,2009,287.28
德州市,2010,285.33
德州市,2011,262.01
德州市,2012,231.99
德州市,2013,307.48
德州市,2014,341.86
德州市,2015,265.34
德州市,2016,226.82
德州市,2017,288.15
德州市,2018,304.93
德州市,2019,268.6
德州市,2020,352.93
日照市,1960,337.17
日照市,1961,338.33
日照市,1962,322.73
日照市,1963,282.88
日照市,1964,373.72
日照市,1965,263.68
日照市,1966,387.9
日照市,1967,370.5
日照市,1968,353.64
日照市,1969,343.74
日照市,1970,308.15
日照市,1971,360.28
日照市,1972,343.28
日照市,1973,356.21
日照市,1974,254.73
日照市,1975,269.67
日照市,1976,313.57
日照市,1977,303.93
日照市,1978,343.88
日照市,1979,372.93
日照市,1980,346.15
日照市,1981,369.33
日照市,1982,277.24
日照市,1983,359.09
日照市,1984,291.29
日照市,1985,319.07
日照市,1986,303.38
日照市,1987,277.48
日照市,1988,337.97
日照市,1989,284.36
日照市,1990,289.92
日照市,1991,352.52
日照市,1992,347.7
日照市,1993,222.69
日照市,1994,353.45
日照市,1995,276.3
日照市,1996,285.29
日照市,1997,361.49
日照市,1998,241.98
日照市,1999,292.7
日照市,2000,334.57
日照市,2001,272.71
日照市,2002,347.62
日照市,2003,207.36
日照市,2004,252.94
日照市,2005,233.27
日照市,2006,245.54
日照市,2007,208.75
日照市,2008,218.83
日照市,2009,262.26
日照市,2010,289.78
日照市,2011,189.88
日照市,2012,284.72
日照市,2013,294.95
日照市,2014,315.69
日照市,2015,260.67
日照市,2016,267.59
日照市,2017,262.84
日照市,2018,307.95
日照市,2019,210.15
日照市,2020,265.33
枣庄市,1960,293.84
枣庄市,1961,326.14
枣庄市,1962,311.81
枣庄市,1963,245.74
枣庄市,1964,392.66
枣庄市,1965,289.69
枣庄市,1966,412.83
枣庄市,1967,363.06
枣庄市,1968,387.26
枣庄市,1969,368.04
枣庄市,1970,330.22
枣庄市,1971,393.49
枣庄市,1972,341.53
枣庄市,1973,363.27
枣庄市,1974,281.77
枣庄市,1975,269.08
枣庄市,1976,353.31
枣庄市,1977,283.38
枣庄市,1978,325.2
枣庄市,1979,349.01
枣庄市,1980,307.58
枣庄市,1981,318.77
枣庄市,1982,238.12
枣庄市,1983,322.69
枣庄市,1984,307.27
枣庄市,1985,348.55
枣庄市,1986,313.69
枣庄市,1987,302.68
枣庄市,1988,335.04
枣庄市,1989,267.89
枣庄市,1990,279.74
枣庄市,1991,314.52
枣庄市,1992,319.63
枣庄市,1993,225.74
枣庄市,1994,368.86
枣庄市,1995,304.14
枣庄市,1996,299.27
枣庄市,1997,338.23
枣庄市,1998,270.07
枣庄市,1999,312.81
枣庄市,2000,299.97
枣庄市,2001,264.91
枣庄市,2002,328.6
枣庄市,2003,187.56
枣庄市,2004,243.46
枣庄市,2005,226.21
枣庄市,2006,233.72
枣庄市,2007,213.59
枣庄市,2008,184.26
枣庄市,2009,228.25
枣庄市,2010,301.14
枣庄市,2011,208.62
枣庄市,2012,299.17
枣庄市,2013,345.54
枣庄市,2014,311.41
枣庄市,2015,276.64
枣庄市,2016,279.62
枣庄市,2017,311.69
枣庄市,2018,350.87
枣庄市,2019,249.95
枣庄市,2020,221.66
泰安市,1960,228.56
泰安市,1961,328.8
泰安市,1962,272.12
泰安市,1963,270.97
泰安市,1964,329.87
泰安市,1965,350.59
泰安市,1966,397.76
泰安市,1967,384.43
泰安市,1968,452.94
泰安市,1969,383.72
泰安市,1970,323.35
泰安市,1971,361.99
泰安市,1972,374.12
泰安市,1973,350.09
泰安市,1974,296.0
泰安市,1975,332.14
泰安市,1976,302.22
泰安市,1977,278.39
泰安市,1978,357.75
泰安市,1979,358.28
泰安市,1980,335.46
泰安市,1981,310.83
泰安市,1982,280.0
泰安市,1983,286.5
泰安市,1984,300.37
泰安市,1985,341.38
泰安市,1986,357.08
泰安市,1987,328.01
泰安市,1988,288.29
泰安市,1989,283.5
泰安市,1990,287.97
泰安市,1991,287.89
泰安市,1992,289.86
泰安市,1993,241.12
泰安市,1994,308.5
泰安市,1995,249.27
泰安市,1996,228.22
泰安市,1997,352.91
泰安市,1998,262.72
泰安市,1999,279.46
泰安市,2000,291.26
泰安市,2001,299.06
泰安市,2002,341.46
泰安市,2003,209.88
泰安市,2004,211.26
泰安市,2005,249.45
泰安市,2006,260.93
泰安市,2007,246.46
泰安市,2008,212.79
泰安市,2009,260.08
泰安市,2010,258.18
泰安市,2011,226.56
泰安市,2012,252.18
泰安市,2013,310.16
泰安市,2014,325.93
泰安市,2015,271.17
泰安市,2016,234.84
泰安市,2017,261.94
泰安市,2018,283.85
泰安市,2019,238.83
泰安市,2020,268.08
济南市,1960,267.84
济南市,1961,340.84
济南市,1962,286.23
济南市,1963,319.68
济南市,1964,338.16
济南市,1965,358.26
济南市,1966,396.25
济南市,1967,356.43
济南市,1968,435.82
济南市,1969,387.2
济南市,1970,326.73
济南市,1971,363.13
济南市,1972,369.35
济南市,1973,350.86
济南市,1974,298.42
济南市,1975,346.14
济南市,1976,281.68
济南市,1977,321.81
济南市,1978,350.07
济南市,1979,350.0
济南市,1980,369.58
济南市,1981,332.58
济南市,1982,312.38
济南市,1983,341.97
济南市,1984,309.77
济南市,1985,351.42
济南市,1986,362.99
济南市,1987,350.86
济南市,1988,272.84
济南市,1989,312.92
济南市,1990,295.69
济南市,1991,304.69
济南市,1992,310.7
济南市,1993,263.26
济南市,1994,315.43
济南市,1995,244.22
济南市,1996,231.61
济南市,1997,347.78
济南市,1998,272.02
济南市,1999,253.64
济南市,2000,304.85
济南市,2001,315.06
济南市,2002,372.38
济南市,2003,239.85
济南市,2004,217.75
济南市,2005,255.47
济南市,2006,266.97
济南市,2007,222.75
济南市,2008,202.83
济南市,2009,238.41
济南市,2010,244.66
济南市,2011,195.07
济南市,2012,221.38
济南市,2013,310.27
济南市,2014,315.64
济南市,2015,265.93
济南市,2016,221.04
济南市,2017,267.94
济南市,2018,283.22
济南市,2019,244.15
济南市,2020,325.23
济宁市,1960,278.03
济宁市,1961,364.88
济宁市,1962,316.33
济宁市,1963,292.74
济宁市,1964,373.93
济宁市,1965,328.21
济宁市,1966,416.59
济宁市,1967,379.9
济宁市,1968,422.4
济宁市,1969,382.78
济宁市,1970,341.74
济宁市,1971,397.81
济宁市,1972,362.74
济宁市,1973,366.58
济宁市,1974,310.61
济宁市,1975,323.36
济宁市,1976,341.16
济宁市,1977,304.56
济宁市,1978,345.95
济宁市,1979,361.26
济宁市,1980,309.32
济宁市,1981,289.94
济宁市,1982,259.38
济宁市,1983,270.8
济宁市,1984,312.55
济宁市,1985,362.01
济宁市,1986,349.01
济宁市,1987,323.43
济宁市,1988,327.63
济宁市,1989,287.25
济宁市,1990,311.21
济宁市,1991,292.7
济宁市,1992,323.34
济宁市,1993,238.54
济宁市,1994,351.24
济宁市,1995,276.07
济宁市,1996,278.79
济宁市,1997,373.91
济宁市,1998,268.04
济宁市,1999,306.72
济宁市,2000,283.06
济宁市,2001,285.57
济宁市,2002,322.54
济宁市,2003,200.45
济宁市,2004,241.01
济宁市,2005,238.62
济宁市,2006,238.64
济宁市,2007,237.84
济宁市,2008,199.93
济宁市,2009,260.68
济宁市,2010,301.37
济宁市,2011,253.68
济宁市,2012,302.9
济宁市,2013,359.77
济宁市,2014,339.46
济宁市,2015,300.48
济宁市,2016,277.85
济宁市,2017,329.68
济宁市,2018,349.57
济宁市,2019,276.98
济宁市,2020,340.65
淄博市,1960,281.44
淄博市,1961,339.58
淄博市,1962,278.98
淄博市,1963,303.86
淄博市,1964,338.45
淄博市,1965,334.89
淄博市,1966,391.33
淄博市,1967,349.18
淄博市,1968,419.98
淄博市,1969,371.91
淄博市,1970,313.68
淄博市,1971,347.74
淄博市,1972,359.81
淄博市,1973,348.39
淄博市,1974,283.15
淄博市,1975,327.23
淄博市,1976,271.77
淄博市,1977,320.38
淄博市,1978,347.11
淄博市,1979,360.74
淄博市,1980,368.1
淄博市,1981,342.9
淄博市,1982,305.98
淄博市,1983,350.22
淄博市,1984,303.12
淄博市,1985,335.52
淄博市,1986,349.5
淄博市,1987,343.21
淄博市,1988,277.44
淄博市,1989,312.59
淄博市,1990,289.2
淄博市,1991,305.48
淄博市,1992,304.88
淄博市,1993,250.9
淄博市,1994,323.67
淄博市,1995,252.59
淄博市,1996,239.67
淄博市,1997,346.33
淄博市,1998,280.64
淄博市,1999,276.55
淄博市,2000,319.85
淄博市,2001,298.93
淄博市,2002,368.98
淄博市,2003,225.36
淄博市,2004,237.11
淄博市,2005,264.87
