地级市,年份,累计日照时数(小时)
乌鲁木齐市,1960,452.82
乌鲁木齐市,1961,416.54
乌鲁木齐市,1962,485.47
乌鲁木齐市,1963,464.01
乌鲁木齐市,1964,492.83
乌鲁木齐市,1965,471.5
乌鲁木齐市,1966,467.34
乌鲁木齐市,1967,475.73
乌鲁木齐市,1968,518.27
乌鲁木齐市,1969,451.98
乌鲁木齐市,1970,437.7
乌鲁木齐市,1971,430.52
乌鲁木齐市,1972,458.94
乌鲁木齐市,1973,495.31
乌鲁木齐市,1974,464.39
乌鲁木齐市,1975,483.63
乌鲁木齐市,1976,476.85
乌鲁木齐市,1977,471.19
乌鲁木齐市,1978,463.22
乌鲁木齐市,1979,451.4
乌鲁木齐市,1980,453.3
乌鲁木齐市,1981,426.23
乌鲁木齐市,1982,466.53
乌鲁木齐市,1983,487.75
乌鲁木齐市,1984,481.49
乌鲁木齐市,1985,450.15
乌鲁木齐市,1986,458.76
乌鲁木齐市,1987,494.35
乌鲁木齐市,1988,472.71
乌鲁木齐市,1989,422.39
乌鲁木齐市,1990,446.79
乌鲁木齐市,1991,423.57
乌鲁木齐市,1992,463.22
乌鲁木齐市,1993,406.58
乌鲁木齐市,1994,457.7
乌鲁木齐市,1995,442.04
乌鲁木齐市,1996,407.95
乌鲁木齐市,1997,472.86
乌鲁木齐市,1998,422.7
乌鲁木齐市,1999,364.39
乌鲁木齐市,2000,405.46
乌鲁木齐市,2001,414.53
乌鲁木齐市,2002,434.02
乌鲁木齐市,2003,438.04
乌鲁木齐市,2004,443.88
乌鲁木齐市,2005,415.88
乌鲁木齐市,2006,486.33
乌鲁木齐市,2007,425.88
乌鲁木齐市,2008,459.32
乌鲁木齐市,2009,470.63
乌鲁木齐市,2010,417.54
乌鲁木齐市,2011,490.05
乌鲁木齐市,2012,468.38
乌鲁木齐市,2013,471.91
乌鲁木齐市,2014,454.08
乌鲁木齐市,2015,496.96
乌鲁木齐市,2016,403.1
乌鲁木齐市,2017,465.36
乌鲁木齐市,2018,415.24
乌鲁木齐市,2019,388.1
乌鲁木齐市,2020,370.49
五家渠市,1960,450.09
五家渠市,1961,416.89
五家渠市,1962,482.11
五家渠市,1963,462.52
五家渠市,1964,505.52
五家渠市,1965,475.81
五家渠市,1966,494.14
五家渠市,1967,511.23
五家渠市,1968,532.54
五家渠市,1969,479.06
五家渠市,1970,455.29
五家渠市,1971,467.0
五家渠市,1972,480.88
五家渠市,1973,521.99
五家渠市,1974,501.75
五家渠市,1975,486.51
五家渠市,1976,511.81
五家渠市,1977,496.81
五家渠市,1978,498.8
五家渠市,1979,486.61
五家渠市,1980,500.68
五家渠市,1981,470.62
五家渠市,1982,501.2
五家渠市,1983,514.53
五家渠市,1984,508.68
五家渠市,1985,457.13
五家渠市,1986,465.52
五家渠市,1987,517.12
五家渠市,1988,508.38
五家渠市,1989,450.35
五家渠市,1990,486.34
五家渠市,1991,460.41
五家渠市,1992,487.75
五家渠市,1993,462.75
五家渠市,1994,489.26
五家渠市,1995,479.09
五家渠市,1996,452.31
五家渠市,1997,502.99
五家渠市,1998,467.28
五家渠市,1999,404.79
五家渠市,2000,433.51
五家渠市,2001,462.54
五家渠市,2002,449.8
五家渠市,2003,466.21
五家渠市,2004,458.33
五家渠市,2005,465.91
五家渠市,2006,490.78
五家渠市,2007,448.27
五家渠市,2008,471.26
五家渠市,2009,483.99
五家渠市,2010,434.41
五家渠市,2011,487.46
五家渠市,2012,503.41
五家渠市,2013,483.35
五家渠市,2014,457.68
五家渠市,2015,509.01
五家渠市,2016,440.34
五家渠市,2017,481.2
五家渠市,2018,432.94
五家渠市,2019,403.2
五家渠市,2020,388.81
伊犁哈萨克自治州,1960,452.55
伊犁哈萨克自治州,1961,408.65
伊犁哈萨克自治州,1962,475.58
伊犁哈萨克自治州,1963,465.14
伊犁哈萨克自治州,1964,446.68
伊犁哈萨克自治州,1965,495.09
伊犁哈萨克自治州,1966,461.66
伊犁哈萨克自治州,1967,472.82
伊犁哈萨克自治州,1968,512.36
伊犁哈萨克自治州,1969,465.14
伊犁哈萨克自治州,1970,446.28
伊犁哈萨克自治州,1971,464.34
伊犁哈萨克自治州,1972,439.32
伊犁哈萨克自治州,1973,505.18
伊犁哈萨克自治州,1974,474.24
伊犁哈萨克自治州,1975,452.34
伊犁哈萨克自治州,1976,488.32
伊犁哈萨克自治州,1977,482.3
伊犁哈萨克自治州,1978,483.4
伊犁哈萨克自治州,1979,451.92
伊犁哈萨克自治州,1980,472.21
伊犁哈萨克自治州,1981,444.9
伊犁哈萨克自治州,1982,474.79
伊犁哈萨克自治州,1983,508.19
伊犁哈萨克自治州,1984,498.15
伊犁哈萨克自治州,1985,427.55
伊犁哈萨克自治州,1986,427.89
伊犁哈萨克自治州,1987,475.5
